event_id,rank,compute_type,start_time_ms,end_time_ms,duration_ms,layer_id,flop_count,tflops,memory_accessed_bytes,pipeline_stage,dp_group,tp_rank
fwd_l2_r50,50,forward,6.749126747275238,10.091536349424427,3.342409602149189,2,412316860416,0.412316860416,335544320,0,3,2
fwd_l2_r51,51,forward,6.749126747275238,10.091536349424427,3.342409602149189,2,412316860416,0.412316860416,335544320,0,3,3
fwd_l3_r48,48,forward,10.091536349424427,13.384245385588684,3.292709036164257,3,412316860416,0.412316860416,335544320,0,3,0
fwd_l3_r49,49,forward,10.091536349424427,13.384245385588684,3.292709036164257,3,412316860416,0.412316860416,335544320,0,3,1
fwd_l3_r50,50,forward,10.091536349424427,13.384245385588684,3.292709036164257,3,412316860416,0.412316860416,335544320,0,3,2
fwd_l3_r51,51,forward,10.091536349424427,13.384245385588684,3.292709036164257,3,412316860416,0.412316860416,335544320,0,3,3
fwd_l4_r48,48,forward,13.384245385588684,16.79180989247282,3.4075645068841354,4,412316860416,0.412316860416,335544320,0,3,0
fwd_l4_r49,49,forward,13.384245385588684,16.79180989247282,3.4075645068841354,4,412316860416,0.412316860416,335544320,0,3,1
fwd_l4_r50,50,forward,13.384245385588684,16.79180989247282,3.4075645068841354,4,412316860416,0.412316860416,335544320,0,3,2
fwd_l4_r51,51,forward,13.384245385588684,16.79180989247282,3.4075645068841354,4,412316860416,0.412316860416,335544320,0,3,3
fwd_l5_r48,48,forward,16.79180989247282,20.255667733219898,3.4638578407470804,5,412316860416,0.412316860416,335544320,0,3,0
fwd_l5_r49,49,forward,16.79180989247282,20.255667733219898,3.4638578407470804,5,412316860416,0.412316860416,335544320,0,3,1
fwd_l5_r50,50,forward,16.79180989247282,20.255667733219898,3.4638578407470804,5,412316860416,0.412316860416,335544320,0,3,2
fwd_l5_r51,51,forward,16.79180989247282,20.255667733219898,3.4638578407470804,5,412316860416,0.412316860416,335544320,0,3,3
fwd_l6_r48,48,forward,20.255667733219898,23.408567872104186,3.152900138884286,6,412316860416,0.412316860416,335544320,0,3,0
